"Age","Year","Sex","Num_thousands","median_current","median_2019","diff_real","rate_real","norm_first","norm_last"
"15+",1947,"Male",46813,2230,22389,NA,NA,100,50.5280974949221
"15+",1948,"Male",47370,2396,22274,-115,-0.00513645093572737,99.4863549064273,50.2685624012638
"15+",1949,"Male",48258,2346,22082,-192,-0.00861991559665978,98.6287909241145,49.8352516361995
"15+",1950,"Male",47585,2570,23891,1809,0.081921927361652,106.708651569967,53.9178515007899
"15+",1951,"Male",47497,2952,25433,1542,0.0645431333975137,113.595962302917,57.3978785827127
"15+",1952,"Male",49242,3105,26270,837,0.0329099988204302,117.334405288311,59.286842699165
"15+",1953,"Male",49667,3221,27069,799,0.0304149219642177,120.903122068873,61.0900473933649
"15+",1954,"Male",49712,3193,26597,-472,-0.0174369204625217,118.794943945688,60.0248250959151
"15+",1955,"Male",51446,3358,28095,1498,0.0563221415949167,125.485729599357,63.4055517941774
"15+",1956,"Male",52016,3601,29667,1572,0.0559530165509877,132.507034704542,66.9532836831415
"15+",1957,"Male",52877,3677,29330,-337,-0.0113594229278323,131.001831256421,66.1927330173776
"15+",1958,"Male",53543,3743,29056,-274,-0.00934197067848619,129.778015989995,65.5743624464004
"15+",1959,"Male",54285,3997,30774,1718,0.0591272026431718,137.451427040064,69.4515910629655
"15+",1960,"Male",55172,4080,30908,134,0.00435432507961266,138.049935236053,69.75400586775
"15+",1961,"Male",55839,4189,31418,510,0.0165005823734955,140.327839564072,70.904987587452
"15+",1962,"Male",56624,4372,32467,1049,0.033388503405691,145.01317611327,73.2723990069962
"15+",1963,"Male",57686,4511,33043,576,0.0177410909538916,147.585868060208,74.5723313021891
"15+",1964,"Male",58533,4647,33581,538,0.0162818146052114,149.988833802314,75.7865041751298
"15+",1965,"Male",59157,5023,35750,2169,0.064590095589768,159.676626915003,80.6815617242158
"15+",1966,"Male",60085,5306,36723,973,0.0272167832167832,164.022511054536,82.8774542992552
"15+",1967,"Male",61444,5553,37267,544,0.0148136045530049,166.452275671089,84.1051681336042
"15+",1968,"Male",62501,5980,38619,1352,0.0362787452706148,172.490955379874,87.1563981042654
"15+",1969,"Male",63882,6429,39746,1127,0.0291825267355447,177.524677296887,89.6998420221169
"15+",1970,"Male",65008,6670,39300,-446,-0.0112212549690535,175.53262762964,88.6932972241029
"15+",1971,"Male",66486,6903,38965,-335,-0.00852417302798982,174.036357139667,87.9372602121417
"15+",1972,"Male",67474,7450,40829,1864,0.0478378031566791,182.36187413462,92.1439855563078
"15+",1973,"Male",69387,8056,41549,720,0.0176345244801489,185.577739068292,93.768900925299
"15+",1974,"Male",70863,8452,39629,-1920,-0.0462104984476161,177.002099245165,89.4357932746558
"15+",1975,"Male",71234,8853,38356,-1273,-0.0321229402710137,171.316271383269,86.5628526292033
"15+",1976,"Male",72775,9426,38617,261,0.00680467202002294,172.482022421725,87.1518844504626
"15+",1977,"Male",74015,10123,39010,393,0.0101768651112204,174.237348698021,88.0388174227037
"15+",1978,"Male",75609,10935,39435,425,0.0108946423993848,176.135602304703,88.9979688557888
